Source,Target
"Gannapao, Jubert S.","Guidang, Excel Philip B."
"Gannapao, Jubert S.","Trinidad, Joventino T. Jr."
"Gannapao, Jubert S.","Bagioan, Elsa D."
"Gannapao, Jubert S.","Bigornia, Michael Vincent"
"Gannapao, Jubert S.","Palcon, Gerardo"
"Gannapao, Jubert S.","Quileza, Rhea"
"Gannapao, Jubert S.","Barbero, Michelle I."
"Gannapao, Jubert S.","Venus, Victoria G."
"Gannapao, Jubert S.","Bose, Maria Digna T."
"Gannapao, Jubert S.","Abalos, Michael Vene S."
"Gannapao, Jubert S.","Paderes, Nero M."
"Gannapao, Jubert S.","Atmosfera, Rynheart P."
"Gannapao, Jubert S.","Eloisan, Divinia B."
"Gannapao, Jubert S.","Dela Fuente, Bernie T."
"Gannapao, Jubert S.","Omli, Rodney D."
"Gannapao, Jubert S.","Benoza, Candida Flora B."
"Gannapao, Jubert S.","Guzman, Mary Joan T."
"Gannapao, Jubert S.","Bose, Ma. Digna T."
"Guidang, Excel Philip B.","Trinidad, Joventino T. Jr."
"Guidang, Excel Philip B.","Gannapao, Jubert"
"Guidang, Excel Philip B.","De La Cruz, Joey M."
"Guidang, Excel Philip B.","Trinidad, Joventino T."
"Guidang, Excel Philip B.","Talingdan, Janelyn A."
"Guidang, Excel Philip B.","Dela Cruz, Joey M."
"Trinidad, Joventino T. Jr.","Talingdan, Janelyn A."
"Trinidad, Joventino T. Jr.","Llanda, Christopher John R."
"Gannapao, Jubert","Truqueza, Maria"
"Gannapao, Jubert","Balingit, Kae Ann Marie"
"Herida, Irene Claire","Enriquez, Alexis A."
"Herida, Irene Claire","Enriquez, Alexis"
"Enriquez, Alexis A.","Herida, Irene Claire P."
"Enriquez, Alexis A.","Pablo, Geneva N."
"Enriquez, Alexis A.","Pablo, Geneva"
"Enriquez, Alexis A.","Alzate, Michelle Melinda B."
"Enriquez, Alexis A.","Belisario, Lydiason O."
"Enriquez, Alexis A.","Sequerra, Minerva"
"Fabito, Rovinson Q.","Vasquez, Reymond S."
"Vasquez, Reymond S.","Alejandre, Leandro S."
"Vasquez, Reymond S.","Anicas, Margie V."
"Vasquez, Reymond S.","Castillo, Bernard B."
"Vasquez, Reymond S.","Dayag, Annaliza J."
"Vasquez, Reymond S.","Viloria, Genelyn B."
"Vasquez, Reymond S.","Zales, Jonathan B."
"Vasquez, Reymond S.","Yahin, Rommel J."
"Vasquez, Reymond S.","Dela Cruz, Andrian A."
"Vasquez, Reymond S.","Zales, Jonathan P."
"Vasquez, Reymond S.","Atmosfera, Rynheart P."
"Vasquez, Reymond S.","Valera, Novelyn B."
"Vasquez, Reymond S.","Baay, Joraidy B."
"Vasquez, Reymond S.","Dickson, Ramarie F."
"Vasquez, Reymond S.","Licos, Artemio R. Jr."
"Vasquez, Reymond S.","Vallesteros, Manuel V."
"Vasquez, Reymond S.","Buenafe, Glenn G."
"Vasquez, Reymond S.","Alagao, Leila"
"Vasquez, Reymond S.","Labios, Guillermo P. Jr."
"Vasquez, Reymond S.","Vasquez, Joey M."
"Martinez, Ma. Christilyn A.","Paredes, Perfecto F."
"Paredes, Perfecto F.","Pablo, Geneva N."
"Paredes, Perfecto F.","Romero, John Mark B."
"Paredes, Perfecto F.","Dela Cruz, Andrian A."
"Pablo, Geneva","Visco, Dionisio"
"Pablo, Geneva","Valera, Calixto"
"Pablo, Geneva","Miguel, Maria Maribel"
"Pablo, Geneva","Pilarta, Mae Amalia"
"Pablo, Geneva","Belisario, Lydiason"
"Pablo, Geneva","Casabar, Judith"
"Visco, Dionisio","Valera, Calixto"
"Visco, Dionisio","Miguel, Maria Maribel"
"Visco, Dionisio","Pilarta, Mae Amalia"
"Visco, Dionisio","Belisario, Lydiason"
"Visco, Dionisio","Casabar, Judith"
"Valera, Calixto","Miguel, Maria Maribel"
"Valera, Calixto","Pilarta, Mae Amalia"
"Valera, Calixto","Belisario, Lydiason"
"Valera, Calixto","Casabar, Judith"
"Miguel, Maria Maribel","Pilarta, Mae Amalia"
"Miguel, Maria Maribel","Belisario, Lydiason"
"Miguel, Maria Maribel","Casabar, Judith"
"Pilarta, Mae Amalia","Belisario, Lydiason"
"Pilarta, Mae Amalia","Casabar, Judith"
"Belisario, Lydiason","Casabar, Judith"
"Dela Cruz, Andrian A.","Pias, Ferdinand B."
"Dela Cruz, Andrian A.","Vitalis, Charlie A."
"Dela Cruz, Andrian A.","Alzate, Michelle Melinda B."
"Dela Cruz, Andrian A.","Romero, John Mark B."
"Pias, Ferdinand B.","Vitalis, Charlie A."
"Pias, Ferdinand B.","Quileza, Rhea A."
"Pias, Ferdinand B.","Cabael, Ruby May"
"Bagioan, Elsa D.","Bigornia, Michael Vincent"
"Bagioan, Elsa D.","Palcon, Gerardo"
"Bagioan, Elsa D.","Tumalip, Marie Ann A."
"Bagioan, Elsa D.","Gonzalo, Gemma"
"Bagioan, Elsa D.","Taclawan, Bersheeba L."
"Bagioan, Elsa D.","Bugtong, Jenesis C."
"Bagioan, Elsa D.","Bigornia, Michael Vincent B."
"Bagioan, Elsa D.","Quileza, Rhea"
"Bagioan, Elsa D.","Bagioan, Michaela Isabelle D."
"Bigornia, Michael Vincent","Palcon, Gerardo"
"Palcon, Gerardo","Begnalen, Ramelda B."
"Palcon, Gerardo","Turqueza, Peri Jayson"
"Palcon, Gerardo","Velarde, Maria Anngelli L."
"Palcon, Gerardo","Bigornia, Michael Vincent B."
"Palcon, Gerardo","Quileza, Rhea"
"Guidang, Excel Philip","Llanda, Christopher John R."
"Guidang, Excel Philip","Llanda, Christopher John"
"Guidang, Excel Philip","Dela Cruz, Joey M."
"Llanda, Christopher John R.","Tuzon, Amor A."
"Llanda, Christopher John R.","Baldemor, Romeo Jr."
"Talingdan, Janelyn A.","Landa, Christopher John R."
"Talingdan, Janelyn A.","Are, Candylyn"
"Llanda, Christopher John","Laureta, Max"
"Lomboy, Orlando A.","De Vera, Bernard"
"Lomboy, Orlando A.","Labios, Guillermo Jr."
"Lomboy, Orlando A.","Tamayo, Rodel"
"Lomboy, Orlando A.","Tebia, Rex"
"Lomboy, Orlando A.","Labios, Guillermo P. Jr."
"Lomboy, Orlando A.","Pizarro, Eden"
"Lomboy, Orlando A.","Carbonilla, Eucensio B."
"Lomboy, Orlando A.","Alcos, Ranier Mark"
"De Vera, Bernard","Labios, Guillermo P. Jr."
"De Vera, Bernard","Pizarro, Eden"
"Tamayo, Rodel","Tebia, Rex"
"Pablo, Geneva N.","Belisario, Lydiason O."
"Pablo, Geneva N.","Herida, Irene Claire P."
"Belisario, Lydiason O.","Casabar, Judith V."
"Belisario, Lydiason O.","Valera, Marian Loren B."
"Belisario, Lydiason O.","Alzate, Michelle Melinda B."
"Tauro, Aurelio","Viste, Armando"
"Tauro, Aurelio","Montejo, Jason"
"Tauro, Aurelio","Altero, Rovinson"
"Viste, Armando","Montejo, Jason"
"Viste, Armando","Altero, Rovinson"
"Montejo, Jason","Altero, Rovinson"
"Altero, Rovinson","Montejo, Jason M."
"Altero, Rovinson","Alingasa, Marvin"
"Altero, Rovinson","Lomboy, Orlando"
"Roldan, Roberto Jr.","Talledo, Maria Rebecca"
"Roldan, Roberto Jr.","Alagao, Marilyn J."
"Roldan, Roberto Jr.","Alagao, Prestine Joy"
"Talledo, Maria Rebecca","Roldan, Roberto Q. Jr."
"Talledo, Maria Rebecca","Bautista, Nilda A."
"Turqueza, Peri Jayson","Velarde, Maria Anngelli L."
"Venus, Victoria G.","Abalos, Michael Vene S."
"Venus, Victoria G.","Barbero, Michelle I."
"Venus, Victoria G.","Bose, Maria Digna T."
"Venus, Victoria G.","Paderes, Nero M."
"Venus, Victoria G.","Atmosfera, Rynheart P."
"Venus, Victoria G.","Eloisan, Divinia B."
"Venus, Victoria G.","Dela Fuente, Bernie T."
"Venus, Victoria G.","Omli, Rodney D."
"Venus, Victoria G.","Are, Candylyn"
"Venus, Victoria G.","Agdalpen, Mary Nizza"
"Venus, Victoria G.","Cabael, Ruby May P."
"Abalos, Michael Vene S.","Quileza, Rhea A."
"Abalos, Michael Vene S.","Paderes, Nero S."
"Abalos, Michael Vene S.","Atmosfera, Rynheart P."
"Abalos, Michael Vene S.","Cabael, Ruby Mae P."
"Abalos, Michael Vene S.","Barbero, Michelle I."
"Abalos, Michael Vene S.","Bose, Maria Digna T."
"Abalos, Michael Vene S.","Paderes, Nero M."
"Abalos, Michael Vene S.","Eloisan, Divinia B."
"Abalos, Michael Vene S.","Dela Fuente, Bernie T."
"Abalos, Michael Vene S.","Omli, Rodney D."
"Abalos, Michael Vene S.","Ortega, Rowena A."
"Abalos, Michael Vene S.","Are, Candylyn"
"Abalos, Michael Vene S.","Agdalpen, Mary Nizza"
"Abalos, Michael Vene S.","Cabael, Ruby May P."
"Alagao, Marilyn J.","Alagao, Prestine Joy"
"Talledo, Maria Rebecca B.","Bautista, Nilda A."
"Talledo, Maria Rebecca B.","Pilarta, Mae Amelia"
"Talledo, Maria Rebecca B.","Viste, Sammy B."
"Talledo, Maria Rebecca B.","Flores, Josefina A."
"Talledo, Maria Rebecca B.","Roldan, Roberto Q. Jr."
"Talledo, Maria Rebecca B.","Villamor, Edel Christy D."
"Talledo, Maria Rebecca B.","Bejarin, Ma. Lourdes Q."
"Talledo, Maria Rebecca B.","Agwayan, Drexel Jay F."
"Talledo, Maria Rebecca B.","Peralta, Marwin B."
"Talledo, Maria Rebecca B.","Peralta, Violeta T."
"Talledo, Maria Rebecca B.","Taclawan, Bersheeba L."
"Bautista, Nilda A.","Pilarta, Mae Amelia"
"Bautista, Nilda A.","Bose, Naceilli G."
"Bautista, Nilda A.","Flores, Ma Rita V."
"Bautista, Nilda A.","Gonzalo, Gemma P."
"Bautista, Nilda A.","Roldan, Roberto Q. Jr."
"Viste, Sammy B.","Flores, Josefina A."
"Viste, Sammy B.","Roldan, Roberto Q. Jr."
"Viste, Sammy B.","Martinez, Juniel"
"Flores, Josefina A.","Roldan, Roberto Q. Jr."
"Flores, Josefina A.","Peralta, Violeta T."
"Flores, Josefina A.","Taclawan, Bersheeba L."
"Tumalip, Marie Ann A.","Gonzalo, Gemma"
"Tumalip, Marie Ann A.","Taclawan, Bersheeba L."
"Tumalip, Marie Ann A.","Bugtong, Jenesis C."
"Gonzalo, Gemma","Taclawan, Bersheeba L."
"Gonzalo, Gemma","Bugtong, Jenesis C."
"Taclawan, Bersheeba L.","Bugtong, Jenesis C."
"Taclawan, Bersheeba L.","Bides, Jestoni B."
"Taclawan, Bersheeba L.","Valencia, Jordan S."
"Taclawan, Bersheeba L.","Abat, John Lord"
"Taclawan, Bersheeba L.","Tamayo, Mark Jensen"
"Taclawan, Bersheeba L.","Pilarta, Mae Amalia B."
"Taclawan, Bersheeba L.","Patagao, Talugay G."
"Taclawan, Bersheeba L.","Peralta, Violeta T."
"Bugtong, Jenesis C.","Trinidad, Joyce Anne B."
"Bugtong, Jenesis C.","Gonzalo, Gemma P."
"Bugtong, Jenesis C.","Torres, Romah"
"Bugtong, Jenesis C.","Timbreza, Lorrea Joyce"
"Bugtong, Jenesis C.","Blanza, Analy"
"Bugtong, Jenesis C.","Reyes, Fastine May"
"Bugtong, Jenesis C.","Gozos, Zairohn Khaine"
"Bugtong, Jenesis C.","Gabay, Ahmed"
"Montejo, Jason M.","Baldemor, Romeo B."
"Montejo, Jason M.","Alingasa, Marvin"
"Montejo, Jason M.","Lomboy, Orlando"
"Montejo, Jason M.","Casabar, Judith V."
"Dayag, Annaliza J.","Meresen, Michael Marcelo M."
"Dayag, Annaliza J.","Guzman, Mary Joan T."
"Dayag, Annaliza J.","Baay, Joraidyl B."
"Dayag, Annaliza J.","Alejandre, Leandro S."
"Dayag, Annaliza J.","Anicas, Margie V."
"Dayag, Annaliza J.","Castillo, Bernard B."
"Dayag, Annaliza J.","Viloria, Genelyn B."
"Dayag, Annaliza J.","Zales, Jonathan B."
"Dayag, Annaliza J.","Yahin, Rommel J."
"Dayag, Annaliza J.","Baay, Joraidy B."
"Dayag, Annaliza J.","Dickson, Ramarie F."
"Dayag, Annaliza J.","Licos, Artemio R. Jr."
"Dayag, Annaliza J.","Vallesteros, Manuel V."
"Meresen, Michael Marcelo M.","Guzman, Mary Joan T."
"Guzman, Mary Joan T.","Benoza, Candida Flora B."
"Guzman, Mary Joan T.","Bose, Ma. Digna T."
"Guzman, Mary Joan T.","Eloisan, Divinia B."
"Baay, Joraidyl B.","Bersamira, Hazel T."
"Baay, Joraidyl B.","Romero, John Mark"
"Alejandre, Leandro S.","Anicas, Margie V."
"Alejandre, Leandro S.","Castillo, Bernard B."
"Alejandre, Leandro S.","Viloria, Genelyn B."
"Alejandre, Leandro S.","Zales, Jonathan B."
"Alejandre, Leandro S.","Yahin, Rommel J."
"Anicas, Margie V.","Castillo, Bernard B."
"Anicas, Margie V.","Viloria, Genelyn B."
"Anicas, Margie V.","Zales, Jonathan B."
"Anicas, Margie V.","Yahin, Rommel J."
"Castillo, Bernard B.","Viloria, Genelyn B."
"Castillo, Bernard B.","Zales, Jonathan B."
"Castillo, Bernard B.","Yahin, Rommel J."
"Castillo, Bernard B.","Atmosfera, Verena"
"Castillo, Bernard B.","Buenafe, Mario"
"Viloria, Genelyn B.","Zales, Jonathan B."
"Viloria, Genelyn B.","Yahin, Rommel J."
"Viloria, Genelyn B.","Barzuela, Mylene E."
"Zales, Jonathan B.","Yahin, Rommel J."
"Yahin, Rommel J.","Fetalvero, Elizabeth C."
"Yahin, Rommel J.","Bobila, Wilma Jlona B."
"Yahin, Rommel J.","Rarangga, Dylan Edward R."
"Lazo, Elizier B.","Viste, Sammy"
"Lazo, Elizier B.","Are, Candylyn"
"Barzuela, Mylene E.","Benas, Diomedes D."
"Fetalvero, Elizabeth C.","Bobila, Wilma Jlona B."
"Fetalvero, Elizabeth C.","Rarangga, Dylan Edward R."
"Fetalvero, Elizabeth C.","Raranga, Dylan Edward"
"Fetalvero, Elizabeth C.","Raranga, Dylan Edward R."
"Bobila, Wilma Jlona B.","Rarangga, Dylan Edward R."
"Bersamira, Hazel T.","Romero, John Mark"
"Bose, Naceilli G.","Flores, Ma Rita V."
"Bose, Naceilli G.","Gonzalo, Gemma P."
"Flores, Ma Rita V.","Gonzalo, Gemma P."
"Gonzalo, Gemma P.","Trinidad, Joyce Anne B."
"Gonzalo, Gemma P.","Torres, Romah"
"Gonzalo, Gemma P.","Timbreza, Lorrea Joyce"
"Gonzalo, Gemma P.","Blanza, Analy"
"Gonzalo, Gemma P.","Reyes, Fastine May"
"Gonzalo, Gemma P.","Gozos, Zairohn Khaine"
"Gonzalo, Gemma P.","Gabay, Ahmed"
"Alingasa, Marvin","Lomboy, Orlando"
"Tuzon, Amor A.","Baldemor, Romeo Jr."
"Maglaya, Medilyne B.","Patagao, Talugay G."
"Maglaya, Medilyne B.","Pilor, May Lyn"
"Maglaya, Medilyne B.","Bose, Alysa"
"Maglaya, Medilyne B.","Marilag, Mary Rose"
"Patagao, Talugay G.","Pilor, May Lyn"
"Patagao, Talugay G.","Bose, Alysa"
"Patagao, Talugay G.","Tamo, Christine"
