Source,Target
"Bueno, Crisanta","Pablo, Janet P."
"Bueno, Crisanta","Clerget Benoît, Egle Rohilyn B."
"Bueno, Crisanta","Sunio, Domingo Abigail J."
"Bueno, Crisanta","Layaoen, Heathel"
"Bueno, Crisanta",Loren Dionora J.
"Bueno, Crisanta",Sta Cruz Pompe C.
"Alimondo, Monica S.","Dolipas, Bretel B."
"Alimondo, Monica S.","Ramos, Jennifer Lyn S."
"Alimondo, Monica S.","Madinno, Carmelo"
"Alimondo, Monica S.","Fulwani, Danni Loven"
"Lee, Sunjoo","Doyog, Nova D."
"Lee, Sunjoo","Lee, Young Jin"
"Dolendo, Russell B.","Bansiong, Apler J."
"Dolendo, Russell B.","Alawas, Dolores E."
"Dolendo, Russell B.","Bokilis, Almon B."
"Dolendo, Russell B.","Cuevas, Jingle P."
"Dolendo, Russell B.","Parcasio, Imelda G."
"Yabes, Melbrenne","Parao, Marissa R."
"Yabes, Melbrenne","Besic, Elvira"
"Yabes, Melbrenne","Daipan, Bernard Peter O."
"Yabes, Melbrenne","Matso, Nover M."
"Yabes, Melbrenne","Sajise, Marycel T."
"Launio, Cheryll C.","Sotelo, Marycris"
"Launio, Cheryll C.","Valentin, Marvin T."
"Launio, Cheryll C.","Smeets, Alex"
"Launio, Cheryll C.","Ciolkosz, Daniel E."
"Launio, Cheryll C.","Onalan, Milagros B."
"Launio, Cheryll C.","Dulay, Alvin C."
"Launio, Cheryll C.","Dumalhin, Leonardo D."
"Launio, Cheryll C.","Sudaypan Sr., Constantino T."
"Launio, Cheryll C.","Galad, Marlon N."
"Launio, Cheryll C.","Suclad, Roger Lee M."
"Launio, Cheryll C.","Pagnas, Keithlern M."
"Launio, Cheryll C.","Batani, Ruth S."
"Launio, Cheryll C.","Galagal, Christita P."
"Launio, Cheryll C.","Labon, Kacy O."
"Launio, Cheryll C.","Bañez, Alladin A."
"Launio, Cheryll C.","Luis, Janet S."
"Launio, Cheryll C.","Angeles, Yolanda B."
"Dumalhin, Leonardo D.","Valentin, Marvin T."
"Dumalhin, Leonardo D.","Smeets, Alex"
"Dumalhin, Leonardo D.","Ciolkosz, Daniel E."
"Dumalhin, Leonardo D.","Onalan, Milagros B."
"Dumalhin, Leonardo D.","Dulay, Alvin C."
"Dumalhin, Leonardo D.","Sudaypan Sr., Constantino T."
"Dumalhin, Leonardo D.","Galad, Marlon N."
"Dumalhin, Leonardo D.","Suclad, Roger Lee M."
"Dumalhin, Leonardo D.","Pagnas, Keithlern M."
"Bestre, Erlinda C.","Napadlet, Jones T."
"Bestre, Erlinda C.","Lumiquio, Arsenia M."
"Antonio, Jhunedyn M.","Bacate, Margarette M."
"Antonio, Jhunedyn M.","Butag, Jackson L."
"Antonio, Jhunedyn M.","Ladoan, Sheinalene M."
"Antonio, Jhunedyn M.","Vicente, Gina D."
"Antonio, Jhunedyn M.","Napadlet, Jones T."
"Lascano, Elizabeth A.","Bansiong, Apler J."
"Ocampo, Phil S.","Dolipas, Bretel B."
"Ocampo, Phil S.","Buasen, Julie A."
"Ocampo, Phil S.","Lubrica, Maria Azucena B."
"Ocampo, Phil S.","Pakipac, Kenneth B."
"Ocampo, Phil S.","Sajise, Marycel T."
"Ocampo, Phil S.","Valentin, Precious M."
"Gaya, Sayrha Fe A.","Parao, Marissa R."
"Bañez, Alladin A.","Labon, Kacy O."
"Bañez, Alladin A.","Batani, Ruth S."
"Padsico, Mary Relia S.","Lumbres, Roscinto Ian C."
"Padsico, Mary Relia S.","Doyog, Nova D."
"Padsico, Mary Relia S.","Anacioco, Kamae P."
"Padsico, Mary Relia S.","Gorio, Judy Ann L."
"Padsico, Mary Relia S.","Lee, Young Jin"
"Wagan, Amparo M.","Parao, Marissa R."
"Wagan, Amparo M.","Pablo, Janet P."
"Wagan, Amparo M.","Garcia, Jose Nestor M."
"Wagan, Amparo M.","Medina, Simplicio M."
"Parao, Marissa R.","Besic, Elvira"
"Parao, Marissa R.","Daipan, Bernard Peter O."
"Parao, Marissa R.","Matso, Nover M."
"Parao, Marissa R.","Sajise, Marycel T."
"Parao, Marissa R.","Untalan, Paquito P."
"Parao, Marissa R.","Ligat, Bonie S."
"Parao, Marissa R.","Pagadan, Casiano S."
"Parao, Marissa R.","Tanguid, Leon B."
"Parao, Marissa R.","Pablo, Janet P."
"Parao, Marissa R.","Garcia, Jose Nestor M."
"Parao, Marissa R.","Medina, Simplicio M."
"Seo, Yeon Ok","Lumbres, Roscinto Ian C."
"Seo, Yeon Ok","Doyog, Nova D."
"Seo, Yeon Ok","Lee, Young Jin"
"Seo, Yeon Ok","Son, Yeong Mo"
"Seo, Yeon Ok","Kim, Sung Yong"
"Seo, Yeon Ok","Lumbres, Roscinto Ian"
"Seo, Yeon Ok","Jang, Mina"
"Seo, Yeon Ok","Lee, Sun Joo"
"Seo, Yeon Ok","Lee, Byungdoo"
"Seo, Yeon Ok","Lee, Young Ji"
"Seo, Yeon Ok","Jung, Sung Cheol"
"Lascano, Elizabeth A","Bansiong, Apler J."
"Jung, Sung Cheol","Lumbres, Roscinto Ian C."
"Jung, Sung Cheol","Joo, Sung-Hyun"
"Jung, Sung Cheol","Doyog, Nova D."
"Jung, Sung Cheol","Lee, Young Ji"
"Ocampo, Mtnp","Laruan, Kenneth A."
"Ocampo, Mtnp","Landicho, Ld"
"Ocampo, Mtnp","Cabahug, Red"
"Ocampo, Mtnp","Abadillos, Mg"
"Ocampo, Mtnp","Cosico, Rsa"
"Ocampo, Mtnp","Castillo, Aka"
"Ocampo, Mtnp","Ramirez, Majp"
"Gomez Jr., Romeo A.","Reyes, Gaudelia A."
"Gomez Jr., Romeo A.","Fomeg-As, David Y."
"Gomez Jr., Romeo A.","Lasangen, Wileen Chiara T."
"Gomez Jr., Romeo A.","Anacin, Carljhonson"
"Gomez Jr., Romeo A.","Batani, Ruth S."
"Gomez Jr., Romeo A.","Napadlet, Jones T."
"Gomez Jr., Romeo A.","Anacio, Danesto B."
"Gomez Jr., Romeo A.","Paing, Joyce N."
"Landicho, Leila D.","Laruan, Kenneth A."
"Landicho, Leila D.","Baliton, Romnick S."
"Landicho, Leila D.","Cabahug, Rowena Esperanza D."
"Landicho, Leila D.","Paelmo, Roselyn F."
"Landicho, Leila D.","Rodriguez, Ramil S."
"Landicho, Leila D.","Visco, Roberto G."
