Source,Target
"Buladaco, Mark Van M.","Buladaco, Jumar S."
"Buladaco, Mark Van M.","Cantero, Laarni M."
"Buladaco, Mark Van M.","Tejada, Jonilyn A."
"Buladaco, Mark Van M.","Gumanao, Girley S."
"Buladaco, Mark Van M.","Edullantes, Christine Mae A."
"Buladaco, Mark Van M.","Gamao, Ariel O."
"Buladaco, Mark Van M.","Cutad, Reir Erlinda"
"Buladaco, Jumar S.","Cantero, Laarni M."
"Buladaco, Jumar S.","Gamao, Ariel O."
"Buladaco, Jumar S.","Funa, Maricielo Paula"
"Buladaco, Jumar S.","Decano, Ronald S."
"Decano, Ronald S.","Duping, Arnold M."
"Decano, Ronald S.","Borlio, Jevannel G."
"Decano, Ronald S.","Centina, Jean D."
"Decano, Ronald S.","Cereno, Ann Cherry C."
"Decano, Ronald S.","Duran, John Rae V."
"Decano, Ronald S.","Lumaday, Evelyn J."
"Decano, Ronald S.","Patarata, Ma. Kristine A."
"Decano, Ronald S.","Lagura, Glenne B."
"Decano, Ronald S.","Santos, Edgardo M."
"Decano, Ronald S.","Santamaria, Josiedel"
"Decano, Ronald S.","Junsay, Marilou D."
"Decano, Ronald S.","Funa, Maricielo Paula"
"Decano, Ronald S.","Libre, Jo Mark M."
"Decano, Ronald S.","Labor, Ma. Bonjeavem"
"Decano, Ronald S.","Gamao, Ariel O."
"Decano, Ronald S.","Rubi, Armin L."
"Decano, Ronald S.","Pelone, Boyeth C."
"Decano, Ronald S.","Padios, Ian Jay T."
"Decano, Ronald S.","Fermil, Florie Ann L."
"Duping, Arnold M.","Borlio, Jevannel G."
"Duping, Arnold M.","Somosot, Ian S."
"Duping, Arnold M.","Lagura, Glenne B."
"Duping, Arnold M.","Rubi, Armin L."
"Borlio, Jevannel G.","Cereno, Ann Cherry"
"Borlio, Jevannel G.","Hasan, Sabar G."
"Borlio, Jevannel G.","Lagura, Glenne B."
"Borlio, Jevannel G.","Rubi, Armin L."
"Gumanao, Girley S.","Bos, Arthur R."
"Gumanao, Girley S.","Randall, Jack E."
"Gumanao, Girley S.","Tejada, Jonilyn A."
"Gumanao, Girley S.","Edullantes, Christine Mae A."
"Gumanao, Girley S.","Lopez, Xavier N."
"Gumanao, Girley S.","Nguyen, Minh Phuong"
"Gumanao, Girley S.","Hoang, Anh Thai"
"Gumanao, Girley S.","Cardona, Lemuel T."
"Gumanao, Girley S.","Vo, Dieu Linh"
"Gumanao, Girley S.","Tran, Thu Trang"
"Bos, Arthur R.","Randall, Jack E."
"Dabalos, Jonilyn T.","Gameng, Hazel A."
"Gameng, Hazel A.","Delos Reyes, Ian Val P."
"Gameng, Hazel A.","Denila, Pamila Grace"
"Cardona, Lemuel T.","Padios, Ian Jay T."
"Cardona, Lemuel T.","Delos Reyes, Ian Val P."
"Cardona, Lemuel T.","Lopez, Xavier N."
"Cardona, Lemuel T.","Vo, Dieu Linh"
"Cardona, Lemuel T.","Tran, Thu Trang"
"Padios, Ian Jay T.","Delos Reyes, Ian Val P."
"Padios, Ian Jay T.","Masagnkay, Rogelio A."
"Padios, Ian Jay T.","Pelone, Boyeth C."
"Padios, Ian Jay T.","Fermil, Florie Ann L."
"Padios, Ian Jay T.","Tejada, Jonilyn A."
"Padios, Ian Jay T.","Gameng, A."
"Padios, Ian Jay T.","Gamao, Ariel O."
"Delos Reyes, Ian Val P.","Masagnkay, Rogelio A."
"Delos Reyes, Ian Val P.","Denila, Pamila Grace"
"Bero, Quirino M.","Guanzon, Grace C."
"Bero, Quirino M.","Sotomil, Joey P."
"Guanzon, Grace C.","Sotomil, Joey P."
"Guanzon, Grace C.","Edullantes, Christine Mae A."
"Saligan, Rosario B.","Manuales, Zoilyn B."
"Saligan, Rosario B.","Turno, Rey B."
"Manuales, Zoilyn B.","Turno, Rey B."
"Manuales, Zoilyn B.","Saligan, Rosario"
"Manuales, Zoilyn B.","Andam, Michael B."
"Manuales, Zoilyn B.","Ranara, Cyril Tom B."
"Manuales, Zoilyn B.","Robles, Lhoenyl B."
"Centina, Jean D.","Cereno, Ann Cherry C."
"Centina, Jean D.","Duran, John Rae V."
"Centina, Jean D.","Lumaday, Evelyn J."
"Centina, Jean D.","Patarata, Ma. Kristine A."
"Cereno, Ann Cherry C.","Duran, John Rae V."
"Cereno, Ann Cherry C.","Lumaday, Evelyn J."
"Cereno, Ann Cherry C.","Patarata, Ma. Kristine A."
"Cereno, Ann Cherry C.","Manseguiao, Mark Ronalds S."
"Cereno, Ann Cherry C.","Lagare, Nickel Jean S."
"Duran, John Rae V.","Lumaday, Evelyn J."
"Duran, John Rae V.","Patarata, Ma. Kristine A."
"Duran, John Rae V.","Somosot, Ian S."
"Duran, John Rae V.","Rodriguez, Bernandita T."
"Lumaday, Evelyn J.","Patarata, Ma. Kristine A."
"Patarata, Ma. Kristine A.","Somosot, Ian S."
"Patarata, Ma. Kristine A.","Dalumay, Melissa E."
"Lagura, Glenne B.","Santos, Edgardo M."
"Lagura, Glenne B.","Santamaria, Josiedel"
"Lagura, Glenne B.","Junsay, Marilou D."
"Lagura, Glenne B.","Funa, Maricielo Paula"
"Lagura, Glenne B.","Libre, Jo Mark M."
"Lagura, Glenne B.","Labor, Ma. Bonjeavem"
"Lagura, Glenne B.","Rubi, Armin L."
"Santos, Edgardo M.","Santamaria, Josiedel"
"Santos, Edgardo M.","Junsay, Marilou D."
"Santos, Edgardo M.","Funa, Maricielo Paula"
"Santos, Edgardo M.","Libre, Jo Mark M."
"Santos, Edgardo M.","Labor, Ma. Bonjeavem"
"Santamaria, Josiedel","Junsay, Marilou D."
"Santamaria, Josiedel","Funa, Maricielo Paula"
"Santamaria, Josiedel","Libre, Jo Mark M."
"Santamaria, Josiedel","Law-Ay, Sadie D."
"Santamaria, Josiedel","Cantere, Bonita"
"Santamaria, Josiedel","Fermil, Florie Ann L."
"Santamaria, Josiedel","Bernaldez, Edison"
"Santamaria, Josiedel","Lanoy, Junry"
"Junsay, Marilou D.","Funa, Maricielo Paula"
"Junsay, Marilou D.","Libre, Jo Mark M."
"Funa, Maricielo Paula","Gamao, Ariel O."
"Saligan, Rosario","Andam, Michael B."
"Saligan, Rosario","Ranara, Cyril Tom B."
"Saligan, Rosario","Robles, Lhoenyl B."
"Andam, Michael B.","Ranara, Cyril Tom B."
"Andam, Michael B.","Robles, Lhoenyl B."
"Ranara, Cyril Tom B.","Robles, Lhoenyl B."
"Ranara, Cyril Tom B.","Mondigo, Lord Martino S."
"Ranara, Cyril Tom B.","Delima, Shamae Ria R."
"Tabinas, Ria Jayne A.","Relox, Paquito E."
"Tabinas, Ria Jayne A.","Rodriguez, Bernandita T."
"Tabinas, Ria Jayne A.","Ruelo, Felma E."
